"﻿Código Comuna";"Nombre Comuna";"Código Región";"Nombre Región"
13125;quilicura;13;metropolitana
13126;"quinta normal";13;metropolitana
13127;recoleta;13;metropolitana
13128;renca;13;metropolitana
13129;"san joaquin";13;metropolitana
13130;"san miguel";13;metropolitana
13131;"san ramon";13;metropolitana
13132;vitacura;13;metropolitana
13201;"puente alto";13;metropolitana
13202;pirque;13;metropolitana
13203;"san jose de maipo";13;metropolitana
13301;colina;13;metropolitana
13302;lampa;13;metropolitana
13303;"til til";13;metropolitana
13401;"san bernardo";13;metropolitana
13402;buin;13;metropolitana
13403;"calera de tango";13;metropolitana
13404;paine;13;metropolitana
13501;melipilla;13;metropolitana
13502;alhue;13;metropolitana
13503;curacavi;13;metropolitana
13504;"maria pinto";13;metropolitana
13505;"san pedro";13;metropolitana
13601;talagante;13;metropolitana
13602;"el monte";13;metropolitana
13603;"isla de maipo";13;metropolitana
13604;"padre hurtado";13;metropolitana
13605;penaflor;13;metropolitana
14101;valdivia;14;"los rios"
14102;corral;14;"los rios"
14103;lanco;14;"los rios"
14104;"los lagos";14;"los rios"
14105;mafil;14;"los rios"
14106;mariquina;14;"los rios"
14107;paillaco;14;"los rios"
14108;panguipulli;14;"los rios"
14201;"la union";14;"los rios"
14202;futrono;14;"los rios"
14203;"lago ranco";14;"los rios"
14204;"rio bueno";14;"los rios"
15101;arica;15;"arica y parinacota"
15102;camarones;15;"arica y parinacota"
15201;putre;15;"arica y parinacota"
15202;"general lagos";15;"arica y parinacota"
